id,nama,email,no_hp,tanggal_daftar,status
1,Budi Santoso,budi.santoso@gmail.com,08123456789,12/05/2024,active
2,ani wijaya,ani.w@yahoo.com,08129876543,2024-06-15,Active
3,Candra Hamzah,candra.h@hotmail.com,08131122334,10-07-24,inactive
5,EKA PUTRI,eka.putri@gmail.com,08155566778,2024-09-20,BANNED
6,Fajar Nugraha,fajar.n@gmail.com,08199988776,05-11-24,INACTIVE
7,Gani Pratama,gani.p@yahoo.com,08122233344,25/12/2024,Active
9,BELLA PUTRI,b.putri@gmail.com,08275172253,2024-10-19,banned
10,Ani Anggraini,ani10@gmail.com,08078507196,15/12/2024,active
12,putri putri,putri.putri@outlook.com,08612726106,15/12/2024,INACTIVE
13,DIAN GUNAWAN,dian.gunawan@yahoo.com,08207040745,08/12/2024,inactve
14,budi santoso,budi_sant@gmail.com,08994360314,10-04-25,INACTIVE
15,Lina Yuliana,lina_yuli@gmail.com,08893711437,13/07/2024,ACTIVE
16,Yani Firmansyah,yani_firm@outlook.com,08725960390,2024-08-12,active
18,Maman Siregar,maman.sir18@gmail.com,08088298256,30/01/2025,inactive
19,hani Santoso,hani.san19@mail.com,08718125571,2025-01-18,inactve
20,Rian Maulana,r.maulana@hotmail.com,08981101974,15-01-25,Active
21,Lukman Syahputra,lukman.syahputra@yahoo.com,08569872358,24-08-2024,aktive
23,Hendra Hakim,hendra.hak23@mail.com,08489152657,27-06-2024,inactive
24,UMAR PANGESTU,u.pangestu@outlook.com,08519002312,02-09-2024,banned
25,Oki Lestari,oki_lest@mail.com,08383195639,14-06-24,inactve
26,Maman Yuliana,maman.yul26@gmail.com,08250846692,11/06/25,active
27,nina kusuma,nina_kusu@hotmail.com,08332666360,08-07-2024,inactive
28,okta maulana,o.maulana@yahoo.com,08116191616,10-02-2025,inactive
29,Zaki Kurniawan,zaki.kurniawan@outlook.com,08556469623,25-12-2024,aktive
30,Maman Handayani,m.handayani@mail.com,08580441540,17-06-25,inactive
31,Teguh Pangestu,teguh.pangestu@gmail.com,08749952986,05-02-2025,banned
32,maman wijaya,maman.wij32@outlook.com,08951313106,2024-05-21,baned
35,Umar Pangestu,umar_pang@mail.com,08348789860,12-04-2025,inactve
36,Hani Pangestu,hani.pan36@mail.com,08491283599,06-06-2024,inactive
37,jihan ramadhani,jihan.ram37@gmail.com,08859056311,22/03/2025,Active
38,Salsa Ramadhani,salsa.ram38@outlook.com,08294650289,18-05-2025,inactive
39,Joko Kurniawan,joko.kur39@gmail.com,08848782816,25-01-25,actve
40,Salsa Rahmawati,salsa40@gmail.com,08114534616,2025-04-03,actve
41,Nando Maulana,nando41@hotmail.com,08511937649,09-11-2024,Active
42,Salsa Pratama,salsa.pra42@gmail.com,08273549162,27-11-24,inactive
43,BELLA SAPUTRA,b.saputra@gmail.com,08112273804,28-05-2024,active
45,lukman hakim,lukman.hakim@mail.com,08212012166,08/11/2024,banned
46,Dian Hakim,dian46@hotmail.com,08509251984,2025-04-13,BANNED
47,yani nugraha,yani.nugraha@yahoo.com,08960881824,13-03-25,Active
48,Fajar Maharani,fajar48@hotmail.com,08301670326,16-11-2024,active
49,ani heryani,a.heryani@hotmail.com,08992668001,20-10-24,aktive
50,Maman Anggraini,m.anggraini@gmail.com,08808525751,21-03-2025,Active
52,Mila Aditya,mila.aditya@gmail.com,08656953616,17-05-25,active
53,Yani Syahputra,yani53@hotmail.com,08040198999,15-02-2025,ACTIVE
54,salsa kurniawan,salsa.kur54@outlook.com,08969708175,04/12/2024,INACTIVE
56,Dedi Santoso,dedi_sant@outlook.com,08957891432,28/04/2025,Active
57,qori aditya,qori_adit@mail.com,08333858951,29/05/24,actve
58,DIAN ADITYA,dian.adi58@yahoo.com,08751383062,05/09/24,Active
59,Dian Kusuma,dian_kusu@gmail.com,08634846728,07/07/24,BANNED
60,Umar Hamzah,umar.hamzah@gmail.com,08954649213,2025-01-21,INACTIVE
61,PUTRI RAMADHANI,putri.ramadhani@hotmail.com,08085338300,2024-08-17,active
62,Dian Nugraha,dian.nug62@hotmail.com,08602423161,06-06-24,inactve
63,Rian Aditya,r.aditya@mail.com,08096866164,30-03-2025,Active
64,Zaki Kurniawan,z.kurniawan@mail.com,08608174371,05-04-2025,ACTIVE
